tanggal,Trading,Investing,IHSG
2022-10-20,4904771010.637927,2747230155.444203,1524164234.2047164
2022-10-21,4940432484.434965,2766192734.600504,1532268873.67341
2022-10-24,5094595049.968408,2853646442.9199266,1539970413.4074135
2022-10-25,5075590493.082808,2843198770.8088613,1538952056.1829336
2022-10-26,5050102190.548885,2828623568.5603895,1537982420.6137707
2022-10-27,5146924289.158917,2885256889.6126285,1548423993.746681
2022-10-28,5114453321.739216,2867400767.4298716,1540624584.2542946
2022-10-31,5154713660.159252,2889992440.5232606,1549980528.030329
2022-11-01,5072488909.87952,2840272332.5382824,1539808683.0986261
2022-11-02,5007079939.018844,2810564518.5991154,1531814493.5969093
2022-11-03,5037797579.888323,2822597679.621701,1535937497.0456438
2022-11-04,5101887997.905462,2852651985.980599,1538329122.6336627
2022-11-07,5122426853.134493,2879554608.2271376,1550746001.7396846
2022-11-08,5096787270.372949,2857410974.7281537,1539333300.4704902
2022-11-09,5089976846.932337,2857519241.850202,1543690956.7930813
2022-11-10,4990116119.114666,2814264603.199223,1521147862.6644936
2022-11-11,5072751718.764574,2855960207.8917785,1547866093.479124
2022-11-14,5059606304.812996,2826919940.4424224,1532622825.305034
2022-11-15,5035731023.148942,2820704551.84903,1536139846.502518
2022-11-16,5024828462.880415,2812000394.7266436,1531529306.6648026
2022-11-17,5021894205.292719,2826623002.6401877,1538210996.607205
2022-11-18,4985039320.358282,2800110339.592109,1546332267.5381074
2022-11-21,4998018540.341201,2807397032.3387756,1542198176.4479003
2022-11-22,4990769231.276496,2801777578.9769993,1535067330.413922
2022-11-23,5037595225.60785,2811500167.755376,1540206025.7887053
2022-11-24,5039373190.588235,2819179681.84,1545968507.6082575
2022-11-25,5045004551.624644,2815314995.0665665,1539993548.1977937
2022-11-28,5013063426.135172,2799263898.5574174,1532178679.974508
2022-11-29,5061354609.098755,2809041765.4470754,1531023859.470366
2022-11-30,5162198634.418302,2858947790.477572,1546142711.5137014
2022-12-01,5161269813.485374,2862789541.308961,1532930933.8036466
2022-12-02,5125405783.916399,2822494079.568106,1532676770.9452755
2022-12-05,5141332867.9536495,2826105732.580556,1525621939.2225466
2022-12-06,5072434430.949472,2797253383.5106263,1504932293.6228096
2022-12-07,5008990301.367063,2762560311.0122337,1488814807.563383
2022-12-08,5066096276.268355,2794341109.5261226,1485643422.266419
2022-12-09,5071049833.329412,2796927251.7635603,1466187276.7805045
2022-12-12,5159788445.282641,2845845121.1339583,1470408683.0473077
2022-12-13,5174379553.9756565,2853276237.7552767,1486972873.1237538
2022-12-14,5161608994.239112,2846755745.702074,1485102366.6849453
2022-12-15,5080281058.511537,2801044667.431632,1474209505.2217143
2022-12-16,5178715101.165695,2855688994.916642,1487382689.4104896
2022-12-19,5142562395.926546,2836911476.5371146,1480287771.59936
2022-12-20,5074575406.063419,2798035597.427107,1477802540.7304478
2022-12-21,5087332262.183342,2804849118.327146,1489232086.6857255
2022-12-22,5113880677.164787,2819746591.5723085,1490055024.2292514
2022-12-23,5070888264.888735,2796069557.740739,1484867393.9752767
2022-12-26,5079614490.220619,2800782673.802824,1492538869.1429796
2022-12-27,5050336460.922405,2783834198.2682686,1511582319.8198528
2022-12-28,5012496249.828405,2762200764.0256605,1495751086.8119054
2022-12-29,5008624399.5934725,2760158755.2060266,1497837802.259429
2022-12-30,4979365304.060505,2743626949.4389205,1495772729.0351644
2023-01-02,5015617508.402771,2764670003.6292953,1495852368.1522799
2023-01-03,5030832314.937262,2803542912.686661,1504099974.228807
2023-01-04,4905557033.319903,2723709620.8876314,1487611052.1800497
2023-01-05,4765719073.615213,2650609847.963178,1452807905.1051142
2023-01-06,4812308378.531535,2670703320.10994,1459514755.4647045
2023-01-09,4790696365.143902,2646445100.813119,1460324153.2922013
2023-01-10,4787303786.2758465,2657339548.4807224,1445964698.077799
2023-01-11,4783123966.755457,2636525932.5481806,1437657709.1522315
2023-01-12,4850865547.834214,2645637018.060298,1447588078.0460944
2023-01-13,4946993639.672492,2692266351.433493,1450185464.672979
2023-01-16,4993781311.3228445,2682072431.779945,1460278736.6069388
2023-01-17,5123808157.852806,2743407552.3966727,1477589423.4679124
2023-01-18,5134079214.724952,2742753766.813037,1477250184.283627
2023-01-19,5156001955.900038,2794323097.78866,1489067051.406884
2023-01-20,5149164386.729858,2827665260.9593315,1501081044.0020905
2023-01-24,5191233272.088611,2856246619.369443,1498007421.8515716
2023-01-25,5154843588.960874,2819239822.795928,1491255474.6425307
2023-01-26,5168394771.054137,2860964210.9107075,1498872897.558055
2023-01-27,5200259343.382989,2906412776.939981,1506332108.3587205
2023-01-30,5208320534.492221,2888236822.6326184,1500546065.3010392
2023-01-31,5119635099.703833,2869348312.7550097,1493310419.7327578
2023-02-01,5104613327.357182,2883321932.0001373,1498313931.1711257
2023-02-02,5152252294.886701,2861873203.0148997,1504496037.5756392
2023-02-03,5128286740.928653,2880560905.9644084,1509116172.487706
2023-02-06,5110201615.384948,2843248362.243797,1500832105.128644
2023-02-07,5219341555.791865,2880120963.3646426,1514262224.0861585
2023-02-08,5315481842.879764,2906194691.538516,1515315336.8021774
2023-02-09,5288775578.945473,2904046137.600293,1505979329.4584062
2023-02-10,5222241617.435588,2880803604.7106953,1502259638.9682362
2023-02-13,5125738934.8489895,2872707123.816335,1506585205.0977192
2023-02-14,5360226284.407303,2884089425.3030643,1515693276.1196795
2023-02-15,5284125915.906433,2866703079.2216015,1509728871.291002
2023-02-16,5248287262.503978,2811935176.386705,1505607893.4690752
2023-02-17,5237491483.92156,2802819168.836672,1505618767.8866735
2023-02-20,5189330160.968289,2794223146.5165653,1505401066.310837
2023-02-21,5208423511.260496,2787948161.006628,1500747775.0862901
2023-02-22,5070560078.746873,2761443816.315863,1486896858.8125045
2023-02-23,5079601841.094298,2760924273.7101426,1493334940.4783223
2023-02-24,5118172429.2048855,2756273988.7319546,1497073394.6694455
2023-02-27,5086955642.269635,2771250638.6166644,1496680529.6807303
2023-02-28,5213686377.888258,2767414223.17356,1494161289.6038396
2023-03-01,5225721552.529756,2757729922.3790684,1494531872.6976726
2023-03-02,5246123088.545403,2814424296.946295,1497256553.9776173
2023-03-03,5209842080.847942,2766704872.6711645,1487697834.2969599
2023-03-06,5242923351.72381,2766296234.7978587,1486249084.6818576
2023-03-07,5055687472.037954,2724919841.4103003,1477462342.038727
2023-03-08,5074480497.302261,2715515665.748748,1479561104.6351583
