tanggal,Trading,Investing,IHSG
2022-08-19,1298697352.2875845,1089933590.140389,1088999574.457359
2022-08-22,1291045932.8878713,1083430436.7631192,1079213872.9866421
2022-08-23,1341927774.2536728,1127142474.5440373,1087607442.1032186
2022-08-24,1364906130.1564033,1146666545.9705927,1092381155.7263658
2022-08-25,1370127409.8880138,1151011141.4501495,1089268911.811848
2022-08-26,1390688651.5006413,1168706275.7996738,1083353572.556503
2022-08-29,1431189586.2047021,1203814855.8386805,1082867238.1096418
2022-08-30,1426690582.352174,1204055427.884934,1087031699.2199373
2022-08-31,1423336883.5562775,1197037486.3346004,1089934211.4042463
2022-09-01,1424771483.7231262,1201032970.7649438,1086064664.688709
2022-09-02,1436823019.9613914,1207560202.6670663,1089720031.493121
2022-09-05,1477076935.522972,1241220367.2168374,1098025749.0365982
2022-09-06,1488391173.2898722,1251620784.8762627,1098218874.2247193
2022-09-07,1451016958.118853,1219946285.358846,1091174215.9710455
2022-09-08,1434800289.112666,1206036943.626743,1098046136.5324652
2022-09-09,1442472020.283996,1212436158.5393271,1099661419.2959123
2022-09-12,1467086054.3676744,1233274294.6715298,1101454258.614273
2022-09-13,1489741119.9895136,1251983253.0559294,1111103475.0672047
2022-09-14,1492605277.633628,1254751433.3783321,1105039640.7056003
2022-09-15,1521635878.8486576,1279669117.801121,1109218484.2675257
2022-09-16,1481322930.8571095,1245623235.5271273,1088458453.2488773
2022-09-19,1500123137.3932962,1261107008.5503943,1092499848.0204854
2022-09-20,1492977953.4669487,1254635514.4329998,1092722034.6572604
2022-09-21,1492329317.9443936,1254216733.4418712,1091410636.786753
2022-09-22,1510157668.4887393,1269636252.4273674,1096055427.2996726
2022-09-23,1497484400.8985293,1259461419.7422283,1089933173.4953659
2022-09-26,1465778636.6137383,1231818231.9298382,1082177621.7949004
2022-09-27,1451993587.6162567,1219623672.4287634,1079891998.1673496
2022-09-28,1433886594.3920858,1204006351.4867902,1074514369.8484507
2022-09-29,1442587518.4424615,1211789300.6104505,1068314717.6961982
2022-09-30,1446080763.8226423,1215246672.4253716,1069013082.1000752
2022-10-03,1447978920.2198935,1217121690.8394303,1064294155.2385486
2022-10-04,1473523149.9965568,1238406948.1092658,1073789390.4954236
2022-10-05,1462486281.1456175,1229130546.5273316,1074264456.2172966
2022-10-06,1454810291.607372,1222679224.2752538,1074452465.9973638
2022-10-07,1437439660.5702913,1208079713.1267998,1066885220.6223599
2022-10-10,1450532071.3015718,1219084488.1285498,1061967682.4829154
2022-10-11,1442685983.711471,1212488075.9939914,1053579006.365347
2022-10-12,1447033335.0115633,1216488080.196234,1049033780.9686064
2022-10-13,1445760215.7635527,1215299520.841587,1044693839.1211581
2022-10-14,1453740842.772374,1222819241.1837697,1034658520.5646819
2022-10-17,1453129645.6213078,1221889847.1635053,1037176709.9178126
2022-10-18,1438624226.3883076,1208511230.841494,1037689733.4501723
2022-10-19,1444556979.63359,1212821147.4060578,1041625483.9250156
2022-10-20,1474719248.4633093,1239028582.0857236,1059881040.8150254
2022-10-21,1485441654.6419613,1247580946.6317062,1065516886.0361223
2022-10-24,1531793776.3052986,1287023463.2725158,1070872421.7231364
2022-10-25,1526079648.0834525,1282311439.7334008,1070164271.3212433
2022-10-26,1518416145.374219,1275737937.1544533,1069490001.2306635
2022-10-27,1547527626.272326,1301280090.8442643,1076750915.2132237
2022-10-28,1537764461.1812096,1293226707.0388234,1071327322.3581884
2022-10-31,1549869672.169113,1303415880.4471226,1077833305.9028845
2022-11-01,1525147128.9882739,1280991620.6685333,1070759956.8822998
2022-11-02,1505480487.2649357,1267593033.623894,1065200916.9183596
2022-11-03,1514716352.0027092,1273020068.0885987,1068067991.9280344
2022-11-04,1533986391.0689285,1286574863.466507,1069731092.6363331
2022-11-07,1540161822.0741243,1298708206.9099522,1078365604.885882
2022-11-08,1532452839.177462,1288721302.4687452,1070429382.9038615
2022-11-09,1530405060.4900017,1288770055.1755617,1073459632.0168202
2022-11-10,1500380026.8704782,1269261885.8605206,1057783501.1038903
2022-11-11,1525225969.5285268,1288066858.1371222,1076362959.7009637
2022-11-14,1521273555.1385627,1274969422.4120595,1065763018.7134972
2022-11-15,1514095065.7585523,1272166278.8504622,1068208702.7176903
2022-11-16,1510816965.870641,1268240621.845201,1065002602.1858362
2022-11-17,1509934699.7925003,1274835548.2336583,1069648949.5620767
2022-11-18,1498853621.4256644,1262878148.6808608,1075296360.0535562
2022-11-21,1502756042.493969,1266164428.146371,1072421574.8636262
2022-11-22,1500576361.7787967,1263630023.8331015,1067462891.050705
2022-11-23,1514655490.3323126,1268014964.1688697,1071036263.0535576
2022-11-24,1515190124.4659367,1271478520.185381,1075043406.8321095
2022-11-25,1516883253.5909142,1269735486.3035126,1070888509.3107841
2022-11-28,1507279563.4438286,1262496330.2023077,1065454166.6852008
2022-11-29,1521799272.474266,1266906258.695326,1064651121.7570908
2022-11-30,1552119947.542149,1289414294.567637,1075164545.6257331
2022-12-01,1551840790.0348556,1291147006.2400894,1065977272.7609712
2022-12-02,1541057676.9491138,1272973458.5920584,1065800531.7058923
2022-12-05,1545846380.355464,1274602240.3619092,1060894707.1095277
2022-12-06,1525130564.076931,1261589456.8513658,1046507436.6171288
2022-12-07,1506054873.786193,1245942595.211188,1035299577.5710857
2022-12-08,1523224984.9613256,1260276089.2772949,1033094243.6090761
2022-12-09,1524714292.0423238,1261442399.1592252,1019564730.6700592
2022-12-12,1551395347.0657732,1283504840.207,1022500233.5294982
2022-12-13,1555782480.2507744,1286856367.9532797,1034018723.8762043
2022-12-14,1551942771.7053933,1283915573.2641861,1032718001.6398962
2022-12-15,1527489851.5724921,1263299398.294744,1025143268.493683
2022-12-16,1557086090.7049072,1287944574.2597976,1034303704.0002491
2022-12-19,1546216080.7760224,1279475757.0145113,1029370004.1368084
2022-12-20,1525774406.4152958,1261942340.5060315,1027641811.7144328
2022-12-21,1529609916.4762979,1265015226.739996,1035589747.2395332
2022-12-22,1537592221.468247,1271734124.0372505,1036162005.7144299
2022-12-23,1524665828.4110808,1261055666.8797922,1032554605.1275665
2022-12-26,1527289524.7500238,1263181314.6562057,1037889234.3642735
2022-12-27,1518486469.762673,1255537362.415194,1051131765.4978331
2022-12-28,1507109048.0854716,1245780467.9773612,1040122962.5477995
2022-12-29,1505944897.9329264,1244859502.3238106,1041574033.2990824
2022-12-30,1497147499.1963596,1237403444.1648996,1040138012.2265667
2023-01-02,1508047517.0227003,1246894122.332809,1040193392.078976
2023-01-03,1512622186.518255,1264426248.6534545,1045928654.1435548
2023-01-04,1474955574.3382552,1228420557.595267,1034462504.0589652
2023-01-05,1432910409.4756773,1195451813.6549673,1010260915.4652872
2023-01-06,1446918431.6452217,1204514180.7302756,1014924759.019799
2023-01-09,1440420371.098541,1193573504.4087029,1015487602.1784226
2023-01-10,1439400283.4451244,1198486986.9659252,1005502251.5209073
2023-01-11,1438143558.7826004,1189099846.1032636,999725695.5101545
2023-01-12,1458511441.313705,1193209100.03478,1006631125.7011446
2023-01-13,1487414327.5055723,1214239345.5172324,1008437309.5622545
2023-01-16,1501481971.3592615,1209641728.061612,1015456020.093916
2023-01-17,1540577170.425753,1237304595.593237,1027493613.1535676
2023-01-18,1543665316.6768937,1237009655.6961715,1027257711.2923005
2023-01-19,1550256836.142379,1260268022.9242263,1035474984.1718897
2023-01-20,1548201091.0096164,1275305622.4267175,1043829335.160053
2023-01-24,1560849907.8387656,1288196021.5054088,1041691984.2297161
2023-01-25,1549908569.5922394,1271505685.971552,1036996780.9997436
2023-01-26,1553983007.940209,1290323774.2024822,1042293823.1077069
2023-01-27,1563563789.3876927,1310821553.5038116,1047480846.8743376
2023-01-30,1565987475.060593,1302623959.5484104,1043457318.9627436
2023-01-31,1539322497.041017,1294105080.8950586,1038425759.1191417
2023-02-01,1534805933.5573094,1300407388.3483505,1041905126.2319609
2023-02-02,1549129551.7522244,1290733817.5763335,1046204070.6786294
2023-02-03,1541923638.1234047,1299162061.5320966,1049416843.4818581
