tanggal,Inv_No_Buffer,Inv_Buffer_8,Inv_Buffer_10,Hyb_No_Buffer,Hyb_Buffer_8,IHSG
2024-09-20,1369099403.6085517,1562614646.2726233,1467716518.5537589,1287448405.5221815,1211394697.5742564,1175629899.4859385
2024-09-23,1383725233.9718175,1579307759.6664133,1483395853.399749,1305834208.668699,1224593905.545177,1180598888.2513163
2024-09-24,1393079781.5832112,1589984520.5348263,1493424210.8892922,1314940286.5637765,1230846427.8070765,1181017981.0299911
2024-09-25,1373538989.1948814,1567681735.5856094,1472475881.7808967,1304272221.6301062,1217896319.556881,1175310742.5051858
2024-09-26,1380022478.256,1575081635.3164172,1479426383.0426478,1306495416.3103132,1214374601.7588851,1175859499.7575743
2024-09-27,1361119653.47161,1553506985.8417137,1459161969.4896564,1304074998.9578464,1207678853.899269,1168632317.81363
2024-09-30,1336008173.4463422,1524846135.7483108,1432241702.7314875,1284516671.0891702,1193630970.7989984,1142974839.60601
2024-10-01,1354212929.0765312,1545624035.5077639,1451757753.4548998,1299212766.5706553,1210762443.9063148,1160314516.04533
2024-10-02,1334840863.5950007,1530773061.9617872,1437808684.666873,1308992263.2957916,1225816209.2497418,1148339494.0639026
2024-10-03,1335691426.9799225,1536244506.8945098,1442947846.857161,1307903731.4470105,1228336274.8097258,1145388793.2529993
2024-10-04,1328904442.7503176,1526663348.1011853,1433948555.1498983,1308917289.3566704,1227837896.4235742,1138140778.9950967
2024-10-07,1320493223.5127096,1507872574.2508812,1416298951.492153,1303465623.5453973,1215554890.3480809,1139362101.2020469
2024-10-08,1349539612.6826534,1540389514.6353574,1446841126.8448324,1314919294.6410966,1225731837.5628154,1147410269.0704637
2024-10-09,1331006983.5814147,1520870363.7118602,1428507380.705375,1300843275.1605413,1213884182.2791214,1138929441.471577
2024-10-10,1325142082.4262874,1515196760.3202,1423178337.2092538,1292693424.1054733,1207093158.8533924,1135709848.1242764
2024-10-11,1328491670.8859034,1522900879.693421,1430414582.7493546,1292741585.8903384,1210172220.481255,1141862349.5588148
2024-10-14,1322339460.9168384,1522826569.0522456,1430344785.0191092,1281828364.8942664,1205439647.0069847,1147791774.7203948
2024-10-15,1333109896.8875327,1535311395.4484096,1442071403.5917919,1280281014.522983,1204141853.2308116,1158009468.6944442
2024-10-16,1342093627.8912172,1537998180.968059,1444595019.6979167,1293543933.6786191,1210576791.5910277,1161348050.881259
2024-10-17,1357813020.4447374,1553280284.1315022,1458949035.4526846,1306580049.8936763,1220637813.1515284,1174420587.3674629
2024-10-18,1366203911.9812813,1565280968.7750823,1470220914.3688023,1310409181.849082,1226099156.7827554,1178219556.2791264
2024-10-21,1370293308.3281622,1568523926.7747707,1473266926.4079654,1323667531.6022282,1237358662.360367,1180122932.89326
2024-10-22,1370898674.6458044,1579860912.929693,1483915413.4741054,1328833297.039339,1250531324.1901784,1182610948.7525077
2024-10-23,1367094597.9664488,1584113708.1569061,1487909934.976829,1322585738.995765,1251444446.4621117,1182395656.7961533
2024-10-24,1355178173.9146667,1571747429.1648138,1476294664.3833828,1313746752.1459253,1244174994.3626409,1171613192.1184165
2024-10-25,1358236739.2609828,1575643355.1635962,1479953989.449301,1305870658.3177118,1237143262.7530413,1168289807.8830664
2024-10-28,1351840419.7834814,1558750649.870728,1464087183.98927,1287428262.4807498,1212440551.9167166,1159175485.1853335
2024-10-29,1337159188.1727107,1532614684.019165,1439538464.379993,1272870725.8495853,1191516380.5124526,1154919539.820857
2024-10-30,1336340650.5540876,1527398022.9059763,1434638612.899791,1284944258.9305205,1199424833.02945,1149339741.679307
2024-10-31,1329482718.9282424,1529187519.4590602,1436319432.7085147,1279962992.313328,1202309293.7059035,1149972717.8237128
2024-11-01,1315711097.4565153,1514702489.6439328,1422714083.7620435,1268381491.7380633,1192483030.4168475,1139532466.5311456
2024-11-04,1321794928.7417626,1520306330.9402926,1441453901.5804524,1252763664.7950768,1176789493.2422318,1135622218.960223
2024-11-05,1348491378.8174305,1551011709.6604261,1459932182.2122931,1266834972.662311,1190007333.9221995,1137509211.4413145
2024-11-06,1316845211.2622194,1514613433.293456,1413438517.1523604,1247754221.982839,1172083888.2187111,1121101873.7220747
2024-11-07,1311382328.888132,1508330261.3529015,1398314863.6279147,1256114569.8991323,1179937155.8630056,1099844239.531577
2024-11-08,1301162394.4804888,1496575649.5750124,1392264974.1968827,1244743949.4903693,1169256197.8160722,1106423247.3796508
2024-11-11,1289757944.1083198,1483458563.6316757,1376752899.7687514,1228749849.9537811,1154232188.5705328,1103275640.4268475
2024-11-12,1296419348.101444,1491120303.0340471,1378795693.9641998,1244160097.703515,1168707758.3979197,1111706203.581379
2024-11-13,1293776782.675892,1488080869.185995,1382251019.946892,1221173156.1357002,1147115044.0440114,1109684579.4912171
2024-11-14,1274315630.1983652,1465697243.3476098,1361599102.4396164,1208598812.4298027,1135303372.1420183,1095395762.0697684
2024-11-15,1284095053.53815,1476945270.0041301,1369042712.5606089,1209734809.8466473,1136370467.895333,1087302667.5740957
