tanggal,Trading_Old,Trading_Optimal,Investing_Old,Investing_Optimal,Hybrid_Old,Hybrid_Optimal,IHSG
2022-07-22,1162876498.8063912,1237180176.643059,1345483125.6558313,1043230710.0961059,1207273198.6991527,1037862762.534884,1045655980.6533786
2022-07-25,1163295692.7080626,1245578535.4722166,1330859712.668253,1038450122.841855,1204066628.1449618,1033106773.8104228,1041320486.9868468
2022-07-26,1146379702.5160785,1236781888.7009463,1328781325.619466,1046569141.1206917,1207484915.2961497,1041184015.6500164,1043314013.4008864
2022-07-27,1141888056.2388306,1236586515.4722579,1322282189.0942073,1058874367.595822,1204969460.3576741,1053425925.5358133,1047364675.2160705
2022-07-28,1141500546.2534423,1222389162.8037457,1319165381.8344069,1065960270.4541237,1196566328.7316918,1060475367.8541789,1056262149.094128
2022-07-29,1145286896.0420635,1227334838.6106882,1324446396.0437813,1081273969.7220302,1215753897.433721,1075710270.4246113,1055397645.1330229
2022-08-01,1153140809.8971915,1239095547.363318,1335346745.1698613,1097338598.5311618,1230174377.9173548,1091692238.6254733,1058079008.5894375
2022-08-02,1158069713.8828743,1218586287.35643,1343872962.066348,1099771953.8404274,1224451471.9450254,1079402430.0171072,1061020590.6294621
2022-08-03,1171516621.1098557,1229731514.4615862,1360055991.1790705,1118737855.6201868,1238657471.146535,1098269731.9884465,1069899308.0113221
2022-08-04,1172404185.6973166,1235422555.8697965,1362893582.9261613,1110147331.1623108,1239596135.2622225,1094793659.5752454,1071525933.6361063
2022-08-05,1182820952.0278704,1241497531.0034318,1382047738.1883512,1119207078.413749,1250613517.9637794,1108527745.6393752,1075671934.7955987
2022-08-08,1175168015.6965199,1222026383.8311796,1376729911.2448468,1117398290.0425363,1242541177.6033254,1097225711.869648,1076005103.5462382
2022-08-09,1168754634.3131335,1216459356.0472927,1380406171.209303,1126901385.7571607,1251919274.2408173,1105388295.607469,1078439074.0073514
2022-08-10,1174645768.8839436,1233521326.0750613,1388956669.8474512,1143678018.8794007,1250918313.0198894,1122236346.1449895,1075911988.292388
2022-08-11,1186666765.4499173,1253712027.096962,1409220438.5330298,1148692501.5221066,1273271165.1129708,1141893683.8586512,1087170111.7827866
2022-08-12,1188099133.2208707,1251939814.5042248,1405895085.5881457,1147751274.9979103,1267483606.4034677,1140075429.6216788,1082446959.1493893
2022-08-15,1187743883.17418,1250761472.2136388,1405711758.8622088,1152732279.5752292,1266740429.6754546,1140404154.718515,1076980886.1666024
2022-08-16,1219250902.4188476,1276445172.9073784,1439193038.5435147,1153189769.8804746,1295650532.8304243,1163346547.2063754,1083081047.339024
2022-08-18,1230917032.0733645,1285459855.9481368,1452763293.8181095,1153237630.254776,1309745499.2579381,1173365949.2284164,1091144042.4771624
2022-08-19,1221709942.2053328,1286899851.6990201,1440600764.9419181,1151329323.3276417,1300202095.4050148,1173832230.252069,1088999574.457359
2022-08-22,1206705653.8640022,1271010895.2789035,1424136599.2252703,1144459316.1303296,1282417516.6397011,1155810147.3234138,1079213872.9866421
2022-08-23,1216603627.4109764,1330073700.31954,1431521717.3654828,1190618746.9867864,1287585784.432739,1203869403.188676,1087607442.1032186
2022-08-24,1226602481.2990983,1349341249.2784946,1440640324.6770382,1211239338.6897383,1293197321.117593,1222448012.434905,1092381155.7263658
2022-08-25,1229044099.1407158,1351704561.3155518,1438852532.9345179,1215822065.5020077,1290992720.528024,1223355382.3501384,1089268911.811848
2022-08-26,1213372888.5430093,1370720068.2202928,1411966836.8583796,1234500231.5460973,1278869328.4001033,1235095573.341518,1083353572.556503
2022-08-29,1211065414.1653633,1413303226.159249,1412065145.7145371,1271568700.488747,1279465344.2712815,1274078256.3282096,1082867238.1096418
2022-08-30,1235303997.6108143,1408880624.3375623,1427149954.0016901,1271827573.248761,1293806017.7800431,1275049251.891759,1087031699.2199373
2022-08-31,1224688693.5106635,1383027945.1885214,1415308874.3600092,1264422059.2436109,1286926805.7410185,1248145861.4330542,1089934211.4042463
2022-09-01,1209250692.0709066,1375717448.6252077,1397648942.836845,1268637728.560698,1276290104.8653855,1247495021.0416813,1086064664.688709
2022-09-02,1212395067.3130317,1382139500.6955504,1400379530.619919,1275538669.9588904,1271024013.9758248,1243920703.654616,1089720031.493121
2022-09-05,1213884084.9583447,1421658961.0109348,1401916188.3141692,1311093674.9441276,1272421406.6744068,1274017900.961201,1098025749.0365982
2022-09-06,1210444769.1805625,1395013602.3879158,1398401265.6690505,1322079568.494677,1269232049.7199984,1276374669.8991938,1098218874.2247193
2022-09-07,1203997957.0176277,1391998959.6654024,1390895725.6834705,1288621974.835701,1262408541.2587347,1246502935.5784435,1091174215.9710455
2022-09-08,1208516225.264483,1394565142.61622,1396079544.461786,1273929626.2109725,1267122919.2296906,1240305222.3675358,1098046136.5324652
2022-09-09,1209861261.2097042,1394143413.8354394,1397836367.2064486,1280689088.3688414,1268720202.1278818,1244392638.8844173,1099661419.2959123
2022-09-12,1216134910.296734,1395861367.4443746,1405251949.240403,1302700297.879804,1275448053.8439856,1261313443.2854097,1101454258.614273
2022-09-13,1236357181.9997976,1441952058.5436907,1430846545.641599,1322462468.328086,1298674712.664253,1280255999.8456042,1111103475.0672047
2022-09-14,1229331137.194539,1449456902.8535604,1419249119.6839828,1325386477.9207585,1288148664.2354689,1282403220.592406,1105039640.7056003
2022-09-15,1249012250.5204086,1479536952.0264678,1425432242.6907516,1351706843.180759,1293766023.5090177,1296753694.4850821,1109218484.2675257
2022-09-16,1226162123.3210354,1437648145.438273,1386420368.5825126,1315744393.6353674,1258340404.2945101,1250584471.117536,1088458453.2488773
