tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2023-03-09,1525913760.414381,1514328233.677922,1528315580.0501237,1451883226.39392,1032421307.9727713
2023-03-10,1520854588.8375368,1509304265.8141441,1512747555.3589156,1437093771.7473717,1027184168.0344824
2023-03-13,1541555622.2702518,1529854956.0802114,1535206704.8920836,1458429720.3293552,1030471818.5498041
2023-03-14,1488097503.001304,1476799309.200356,1486462053.7735817,1412122830.3099914,1008434863.0627506
2023-03-15,1488282083.6430125,1476982486.6510031,1484635920.2667315,1410388023.28301,1006358303.9382712
2023-03-16,1479496520.4265025,1468263629.7541113,1478179281.3877382,1404254286.370542,996882640.6774284
2023-03-17,1512505772.9074724,1501022241.5528471,1520504094.960966,1444462400.2501185,1013964989.850734
2023-03-20,1498661880.403603,1487283467.2128856,1501380828.733812,1426295504.7272282,1003982604.6471629
2023-03-21,1523947792.592431,1510980284.569866,1528389448.818427,1454736725.2147157,1015995584.439077
2023-03-24,1546205741.8149443,1526429751.553859,1543999306.4516501,1467381374.541716,1026721408.9464781
2023-03-27,1530556702.6742027,1513074695.194405,1530495745.4249425,1455297936.333317,1018625645.5422556
2023-03-28,1541888400.7956903,1520827097.7499228,1538333020.9350214,1463603707.6636019,1026429015.1875725
2023-03-29,1566317809.1589768,1544918425.7550821,1562701640.1637871,1492944117.7641752,1038440067.4344227
2023-03-30,1553648868.8376281,1532419785.5947077,1550059141.67386,1481406626.8342113,1033811512.781848
2023-03-31,1559661485.2489789,1538345368.3367305,1556052928.3690965,1489051716.1324153,1033253636.758581
2023-04-03,1568919199.2454622,1547481984.7224984,1565294705.7570758,1504835639.610253,1036578429.5845548
2023-04-04,1578230994.8776255,1549884907.4319227,1571044113.284019,1513479462.237037,1037489935.9906768
2023-04-05,1584996443.2149305,1556159857.3020942,1580673930.9979935,1521935251.208771,1035439695.2699528
2023-04-06,1585386119.2353003,1561398266.079598,1582076217.5688338,1519189716.726294,1031353966.9618777
2023-04-10,1594689914.077704,1575032257.5578575,1589582873.5909495,1519197280.4457762,1028084998.8064048
2023-04-11,1598986748.0834801,1574531853.8637247,1596305976.6540918,1531458084.390709,1034170258.5727568
2023-04-12,1598898886.9782736,1574463923.2916868,1596243124.4389842,1538134520.4711618,1032295127.9074423
2023-04-13,1599601211.9777818,1575155778.1141474,1596941269.564885,1541932889.2978463,1030265793.6370256
2023-04-14,1600142562.2382543,1575697309.765042,1597502115.5698576,1547197768.2202716,1035272591.9401928
2023-04-17,1585062706.373681,1560854658.871784,1582447960.9139059,1526205314.914094,1030567009.6214154
2023-04-18,1599696493.9009676,1589816140.4957027,1623800508.9759433,1565210978.8133821,1035763448.7043191
2023-04-26,1617255672.6113307,1616422279.5727758,1661445448.5972605,1603570603.768239,1049176196.8942802
2023-04-27,1614702717.0158653,1616175965.117702,1652046951.435969,1592441859.5373392,1054540406.5340813
2023-04-28,1669658972.179854,1672763927.5331063,1712524710.9853606,1644758264.3036144,1050021721.9501419
2023-05-02,1611786614.7614996,1605472524.0028863,1673076031.9941292,1599862437.1588094,1042063629.7452824
2023-05-03,1571377341.9475472,1552495310.1097498,1647531936.6388264,1564958359.4958897,1034384067.802139
2023-05-04,1553082524.6359022,1530838383.3041024,1632834830.9259663,1551957708.6470616,1039137097.3840249
2023-05-05,1540236875.7217553,1517442715.0235014,1623536187.1655746,1540717349.1177614,1030574423.2562761
2023-05-08,1555578222.4327378,1536757519.9538412,1647837515.351178,1547840263.5031323,1027841460.9012312
2023-05-09,1548768677.3662238,1527383451.434589,1638734262.5423455,1549451288.037838,1029412780.8099545
2023-05-10,1561115264.0882206,1541015466.8865247,1654391633.9440436,1568781638.149439,1034259963.5545712
2023-05-11,1537874111.1844618,1522489162.198872,1625759550.479606,1539170882.8017282,1025762455.2772478
2023-05-12,1527152226.5233183,1514237736.7193975,1602323475.983842,1530040575.9141173,1018448014.8509934
2023-05-15,1508962887.2151003,1498702483.967597,1589865855.7482002,1502387363.3011441,1019051855.4103967
2023-05-16,1502962845.664469,1483698540.283843,1585258070.0045428,1478590083.1748405,1013710998.7204068
2023-05-17,1481432708.7474308,1464053032.442709,1563081088.3992033,1460433008.8219323,1011668838.861681
2023-05-19,1473866759.5601683,1454312714.7408874,1547373236.1461108,1463090442.3740356,1017354503.7090416
2023-05-22,1483555300.553095,1475116711.861316,1565623910.4773932,1483684375.1317172,1021770657.7228577
2023-05-23,1498846178.912689,1479355614.748334,1571364350.5586765,1482814860.0611491,1022839110.7789804
2023-05-24,1500690861.2389007,1481552993.6230495,1564395730.0903916,1476246484.7569818,1024223829.4982601
2023-05-25,1468254738.329358,1454397139.6033657,1543599689.5188267,1456632675.2150517,1017911712.5051711
2023-05-26,1475181118.8507164,1455158022.4176366,1540526527.8564577,1453727447.8046825,1015295663.1718793
2023-05-29,1472362469.5854628,1453799828.5086126,1542009920.2359571,1455122857.4717243,1014400021.9443593
2023-05-30,1494737238.136804,1471867571.706873,1563305088.4772027,1451863007.538742,1007616323.6377817
2023-05-31,1477040115.8430958,1447982825.4271173,1537932669.8812504,1429990242.7952042,1007136290.780552
2023-06-05,1491382013.7132037,1465143246.8773375,1556162357.3115544,1461608931.1948528,1007162979.8660505
2023-06-06,1457687137.2515357,1431841560.8455133,1541690172.329484,1458808944.674283,1004959276.9037104
2023-06-07,1450255319.5589135,1424541539.6483238,1538409972.65365,1462681493.2534182,1005085605.2417365
2023-06-08,1481326594.162158,1455061944.955048,1562261646.3895428,1462988685.222444,1012157174.9899546
2023-06-09,1478733523.9892995,1452514837.635631,1571785567.704812,1468334825.8588219,1016361966.2738924
2023-06-12,1479760768.3642888,1453523908.772484,1575484222.127749,1477571172.023915,1020666248.5376606
2023-06-13,1480100955.35907,1465481482.6698048,1574111246.0286243,1474244441.1213124,1020156264.5955937
2023-06-14,1493244570.2842703,1471993051.0483081,1588081959.7702572,1487336649.1195884,1017226321.9623003
2023-06-15,1507690699.9660437,1485911867.3093157,1603447775.089482,1501719792.4936178,1019363821.1653346
2023-06-16,1517600966.578606,1498066984.568403,1613962194.2057586,1511561112.1893914,1017048691.2710382
2023-06-19,1516937065.0959947,1494999557.3042202,1613273705.9461102,1510918720.4904203,1015152654.1554166
2023-06-20,1506518881.6750493,1493779409.0702887,1608518735.0659604,1506461070.1888127,1011265166.4435164
2023-06-21,1514004665.137974,1510617131.231183,1627167797.7096765,1523926883.6335034,1017667878.054603
2023-06-22,1501206817.2259798,1491842942.0820131,1599971751.5223706,1498456379.3790133,1010021084.3775439
2023-06-23,1503627808.2061434,1482648766.6188357,1597360855.4327087,1496011138.608835,1008118893.944988
2023-06-26,1513364964.8686194,1549458030.6630125,1672315033.81459,1566209566.175415,1011904814.8592967
2023-06-27,1518389015.474115,1551099747.8581266,1677893185.733721,1571433798.715534,1011481348.0360541
2023-07-03,1532065071.0852675,1558874411.4314413,1692985078.0225945,1585568136.8613033,1016770679.9637623
2023-07-04,1533260663.004262,1555418050.2290838,1694327773.7083406,1586825640.8283398,1014498993.9697495
2023-07-05,1528237939.248254,1557649707.6820378,1688777424.191386,1581627451.277462,1020150630.2330996
2023-07-06,1520379778.2041736,1555543656.1260352,1680093773.3469741,1573494762.8864188,1025973966.2798233
