tanggal,Trading_Port,Investing_Port,Hybrid_Port,IHSG
2022-02-09,1047863933.3650033,1082800333.3598373,1087385302.1084845,1037706710.6740032
2022-02-10,1047058842.9549532,1091698639.4945633,1086610366.9940197,1036042053.1023839
2022-02-11,1048751601.6263607,1092911911.5860438,1088323639.762454,1034822065.3497087
2022-02-14,1038536982.3513486,1087102064.7100136,1077812457.6869147,1022505348.9375521
2022-02-15,1038629227.0886447,1102513582.4109511,1097301295.59124,1033590734.7356966
2022-02-16,1027717754.3848897,1103517503.1788914,1099460622.3816204,1040074106.6940676
2022-02-17,1023095205.7340628,1099562881.467336,1093041723.9577868,1037784331.4309947
2022-02-18,1030401049.9686466,1103394055.4144773,1105234932.6280284,1046545097.8822211
2022-02-21,1021299676.5801108,1103465984.5937717,1114017214.7373097,1048085725.3426212
2022-02-22,1030232985.0920228,1091988840.9078262,1102119963.0011709,1041865092.6037132
2022-02-23,1042937713.6362661,1106051206.9767709,1114325859.3155205,1050680719.9529086
2022-02-24,1032262928.2284489,1086922209.2578244,1085643998.852564,1035158051.2815951
2022-02-25,1045495839.51623,1106380037.9100049,1106636287.1747758,1045839542.2525293
2022-03-01,1049842825.4437848,1107410085.0888057,1124202843.11691,1050890970.6375579
2022-03-02,1043047076.1033452,1115986010.6117597,1117937499.1282585,1042837983.9064815
2022-03-04,1065739154.1622369,1126677153.2238386,1136998090.778957,1051936663.8346583
2022-03-07,1082661280.128095,1119936326.1181293,1148575760.0686972,1042938809.3405869
2022-03-08,1050586195.2627218,1113395953.2834718,1129965874.66049,1034605883.7571709
2022-03-09,1069663192.3306154,1134714449.9265583,1150400614.1966767,1042236589.8465823
2022-03-10,1061642284.5337214,1132655727.4848003,1141076125.371339,1051280705.4221843
2022-03-11,1073862179.1201453,1142312416.4792368,1154254057.2382143,1051067266.8745451
2022-03-14,1058244673.3213947,1137787467.048188,1134594910.1777632,1055561783.0088387
2022-03-15,1058290139.3676983,1126731639.94792,1115174366.0959558,1050396629.465047
2022-03-16,1085557904.57727,1154933762.047177,1141795842.078091,1061664019.9990215
2022-03-17,1077768961.4863253,1147172764.6950126,1139604668.2571156,1057411188.3611865
2022-03-18,1073857384.0430586,1143323297.4544122,1143097524.9693189,1055980949.9238621
2022-03-21,1080334587.2287102,1150387806.483754,1145816502.841551,1056013792.3262949
2022-03-22,1082688294.8958678,1152392690.8337896,1147795497.3044395,1062943465.1032795
2022-03-23,1076321202.8129153,1145814088.042435,1142517479.8183315,1062228864.8390574
2022-03-24,1093584590.9938545,1164908466.1001227,1166833976.2166634,1070362437.7810695
2022-03-25,1087405392.2107098,1157502259.0836942,1147369449.6317365,1063203164.7324494
2022-03-28,1112732852.6151226,1185238983.1454773,1174747016.975162,1070349982.8745036
2022-03-29,1093581345.0375419,1170401257.064138,1149770298.70745,1064593443.6778747
2022-03-30,1111845199.9445336,1189163469.3261142,1151881274.6716328,1070894588.4913698
2022-03-31,1102442562.849321,1178231725.4947257,1142914366.4577603,1073665805.2022959
2022-04-01,1099573499.990593,1181208216.5285122,1146459957.445291,1074776886.6588676
2022-04-04,1107687336.4699574,1195892349.8273377,1150136828.5013573,1080464182.5058978
