tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2023-03-21,1294318866.9179602,1294318866.9179602,1098701152.034349,1098701152.034349,1528389448.818427,1528389448.818427,1015995584.439077
2023-03-24,1302045638.8767533,1302045638.8767533,1105255950.1499739,1105255950.1499739,1543999306.4516501,1543999306.4516501,1026721408.9464781
2023-03-27,1294022109.9012249,1294022109.9012249,1098443915.4348829,1098443915.4348829,1530495745.4249425,1530495745.4249425,1018625645.5422556
2023-03-28,1306027988.1282406,1306027988.1282406,1108631739.373917,1108631739.373917,1538333020.9350214,1538333020.9350214,1026429015.1875725
2023-03-29,1334531281.8251579,1334531281.8251579,1132827613.211619,1132827613.211619,1562701640.1637871,1562701640.1637871,1038440067.4344227
2023-03-30,1326041879.3813066,1326041879.3813066,1125622386.316196,1125622386.316196,1550059141.67386,1550059141.67386,1033811512.781848
2023-03-31,1334850941.958148,1334850941.958148,1133095893.5027053,1133095893.5027053,1556052928.3690965,1556052928.3690965,1033253636.758581
2023-04-03,1342766047.6375735,1342766047.6375735,1139823287.0184982,1139823287.0184982,1565294705.7570758,1565294705.7570758,1036578429.5845548
2023-04-04,1356279659.9452562,1356279659.9452562,1151287370.6434479,1151287370.6434479,1571044113.284019,1571044113.284019,1037489935.9906768
2023-04-05,1364900380.0285158,1364900380.0285158,1158605134.0178785,1158605134.0178785,1580673930.9979935,1580673930.9979935,1035439695.2699528
2023-04-06,1361879321.0743487,1361879321.0743487,1156040689.5678272,1156040689.5678272,1582076217.5688338,1582076217.5688338,1031353966.9618777
2023-04-10,1364450823.9377418,1364450823.9377418,1158223520.3548245,1158223520.3548245,1589582873.5909495,1589582873.5909495,1028084998.8064048
2023-04-11,1376237622.1821942,1376237622.1821942,1168228825.0212784,1168228825.0212784,1596305976.6540918,1596305976.6540918,1034170258.5727568
2023-04-12,1386876023.9722402,1386876023.9722402,1177259282.6751983,1177259282.6751983,1596243124.4389842,1596243124.4389842,1032295127.9074423
2023-04-13,1385704827.5798802,1385704827.5798802,1176265104.231519,1176265104.231519,1596941269.564885,1596941269.564885,1030265793.6370256
2023-04-14,1377377938.1835127,1377377938.1835127,1169196765.2345815,1169196765.2345815,1597502115.5698576,1597502115.5698576,1035272591.9401928
2023-04-17,1365766436.7834141,1365766436.7834141,1159340250.6235654,1159340250.6235654,1582447960.9139059,1582447960.9139059,1030567009.6214154
2023-04-18,1395374205.3362029,1395374205.3362029,1184473012.15926,1184473012.15926,1623800508.9759433,1623800508.9759433,1035763448.7043191
2023-04-26,1429588168.3209844,1429588168.3209844,1213515763.5831048,1213515763.5831048,1661445448.5972605,1661445448.5972605,1049176196.8942802
2023-04-27,1419505509.3602614,1419505509.3602614,1204957024.289778,1204957024.289778,1652046951.435969,1652046951.435969,1054540406.5340813
2023-04-28,1466640661.724773,1466640661.724773,1244968036.2033122,1244968036.2033122,1712524710.9853606,1712524710.9853606,1050021721.9501419
2023-05-02,1426463636.5486104,1426463636.5486104,1210863472.5581102,1210863472.5581102,1673076031.9941292,1673076031.9941292,1042063629.7452824
2023-05-03,1396143738.0881999,1396143738.0881999,1168067754.3692062,1168067754.3692062,1647531936.6388264,1647531936.6388264,1034384067.802139
2023-05-04,1384834491.3043556,1384834491.3043556,1149408762.120644,1149408762.120644,1632834830.9259663,1632834830.9259663,1039137097.3840249
2023-05-05,1375088389.0789552,1375088389.0789552,1137974732.7168036,1137974732.7168036,1623536187.1655746,1623536187.1655746,1030574423.2562761
2023-05-08,1380205520.148628,1380205520.148628,1152878588.5761251,1152878588.5761251,1647837515.351178,1647837515.351178,1027841460.9012312
2023-05-09,1390879524.1805143,1390879524.1805143,1165432000.3799233,1165432000.3799233,1638734262.5423455,1638734262.5423455,1029412780.8099545
2023-05-10,1401022463.9524398,1401022463.9524398,1172871142.0507545,1172871142.0507545,1654391633.9440436,1654391633.9440436,1034259963.5545712
2023-05-11,1378304165.0147004,1378304165.0147004,1149265837.2696378,1149265837.2696378,1625759550.479606,1625759550.479606,1025762455.2772478
2023-05-12,1360110933.0557094,1360110933.0557094,1135962330.5613015,1135962330.5613015,1602323475.983842,1602323475.983842,1018448014.8509934
2023-05-15,1356141450.499467,1356141450.499467,1130895928.854133,1130895928.854133,1589865855.7482002,1589865855.7482002,1019051855.4103967
2023-05-16,1349750578.5642128,1349750578.5642128,1125739856.577985,1125739856.577985,1585258070.0045428,1585258070.0045428,1013710998.7204068
2023-05-17,1336646300.0277162,1336646300.0277162,1107824738.362236,1107824738.362236,1563081088.3992033,1563081088.3992033,1011668838.861681
2023-05-19,1329916441.206374,1329916441.206374,1089120534.1140056,1089120534.1140056,1547373236.1461108,1547373236.1461108,1017354503.7090416
2023-05-22,1356170237.4259348,1356170237.4259348,1106930490.1807795,1106930490.1807795,1565623910.4773932,1565623910.4773932,1021770657.7228577
2023-05-23,1364684488.5677185,1364684488.5677185,1118184428.8927696,1118184428.8927696,1571364350.5586765,1571364350.5586765,1022839110.7789804
2023-05-24,1370594040.9618545,1370594040.9618545,1122997364.2061892,1122997364.2061892,1564395730.0903916,1564395730.0903916,1024223829.4982601
